in_dreamteam,selected_by_percent,goals_conceded,status,news,creativity,chance_of_playing_this_round,loans_in,loaned_in,saves,transfers_out_event,event_points,value_season,goals_scored,red_cards,element_type,ep_next,penalties_missed,special,squad_number,team,ea_index,dreamteam_count,second_name,web_name,photo,own_goals,transfers_out,first_name,threat,minutes,code,ep_this,influence,chance_of_playing_next_round,bonus,value_form,cost_change_event_fall,bps,clean_sheets,loaned_out,penalties_saved,cost_change_start,transfers_in,total_points,form,now_cost,ict_index,id,loans_out,cost_change_start_fall,transfers_in_event,points_per_game,news_added,cost_change_event,yellow_cards,assists,team_code
False,0.1,0,a,,0.0,,0,0,0,112,0,0.0,0,0,2,1.0,0,False,47,1,0,0,Medley,Medley,209037.jpg,0,3167,Zech,0.0,0,209037,0.0,0.0,,0,0.0,0,0,0,0,0,0,4702,0,0.0,40,0.0,546,0,0,104,0.0,,0,0,0,3
False,0.0,0,a,,0.0,,0,0,0,103,0,0.2,0,0,4,1.0,0,False,49,1,0,0,Nketiah,Nketiah,205533.jpg,0,1530,Edward,0.0,1,205533,0.0,0.0,,0,0.0,0,3,0,0,0,0,2024,1,0.0,50,0.0,552,0,0,87,1.0,,0,0,0,3
False,0.0,0,a,,0.0,,0,0,0,39,0,0.2,0,0,3,1.2,0,False,87,1,0,0,Saka,Saka,223340.jpg,0,334,Bukayo,0.0,7,223340,0.2,0.0,,0,0.0,0,3,0,0,0,0,507,1,0.2,45,0.0,563,0,0,46,1.0,,0,0,0,3
False,0.0,0,a,,0.0,,0,0,0,19,0,0.0,0,0,3,1.0,0,False,59,1,0,0,Willock,Willock,200089.jpg,0,146,Joseph,0.0,0,200089,0.0,0.0,,0,0.0,0,0,0,0,0,0,221,0,0.0,45,0.0,566,0,0,24,0.0,,0,0,0,3
False,3.5,42,a,,0.0,100,0,0,57,3543,0,13.9,0,0,1,0.1,0,False,27,2,0,0,Begovic,Begovic,40349.jpg,0,203031,Asmir,0.0,1980,40349,0.6,421.0,100,4,0.1,0,348,5,0,0,-1,142284,61,0.6,44,42.2,24,0,1,775,2.8,2018-11-13T09:31:15Z,0,0,0,91
False,5.5,0,a,,0.0,,0,0,1,1638,6,1.5,0,0,1,0.7,0,False,1,2,0,0,Boruc,Boruc,18726.jpg,0,174151,Artur,0.0,90,18726,1.2,6.8,,0,0.3,0,23,1,0,0,0,88611,6,1.2,40,0.7,25,0,0,2960,6.0,,0,0,0,91
False,0.3,24,i,Anterior cruciate ligament  - Expected back 25 Jun,173.3,0,0,0,0,315,0,9.3,0,0,2,0.0,0,False,2,2,0,0,Francis,Francis,15149.jpg,0,39728,Simon,39.0,1227,15149,0.0,332.4,0,0,0.0,0,244,4,0,0,-2,25263,40,0.0,43,54.4,26,0,2,8,2.4,2018-12-26T18:01:16Z,0,1,2,91
False,5.9,42,a,,91.2,,0,0,0,3543,7,14.1,1,0,2,1.3,0,False,3,2,0,1,Cook,Steve Cook,56917.jpg,1,537824,Steve,253.0,2070,56917,1.8,545.2,,5,0.4,0,399,6,0,0,-1,710037,62,1.8,44,88.8,27,0,1,4581,2.7,,0,2,1,91
False,3.8,28,a,,189.9,100,0,0,0,1994,1,6.7,0,0,2,-0.1,0,False,11,2,0,0,Daniels,Daniels,41320.jpg,0,732261,Charlie,107.0,1223,41320,0.4,211.4,100,0,0.1,0,208,3,0,0,-3,85606,28,0.4,42,50.9,28,0,3,323,1.9,2018-10-27T14:01:13Z,0,2,0,91
False,0.4,14,a,,74.9,100,0,0,0,115,6,10.2,1,1,2,0.9,0,False,15,2,0,0,Smith,Adam Smith,54469.jpg,0,78567,Adam,54.0,1145,54469,1.4,191.8,100,0,0.3,0,212,5,0,0,-2,60886,44,1.4,43,32.1,29,0,2,302,3.1,2018-11-10T17:31:13Z,0,1,0,91
False,0.1,4,a,,16.3,100,0,0,0,67,0,1.2,0,0,2,-0.3,0,False,26,2,0,0,Mings,Mings,149484.jpg,0,7905,Tyrone,2.0,141,149484,0.2,49.0,100,0,0.0,1,41,0,0,0,-3,2290,5,0.2,42,6.8,30,0,3,23,1.0,2018-12-15T17:01:15Z,-1,0,0,91
False,4.5,42,a,,35.4,75,0,0,0,2880,6,14.8,3,0,2,2.8,0,False,5,2,0,0,Aké,Aké,126184.jpg,0,246627,Nathan,285.0,2061,126184,3.2,616.8,75,6,0.8,0,421,6,0,0,0,255779,74,4.2,50,93.8,31,0,0,10361,3.2,2018-12-30T19:01:16Z,0,2,0,91
False,5.0,0,a,,0.0,,0,0,0,3275,0,0.0,0,0,2,-0.5,0,False,25,2,0,0,Simpson,Simpson,222434.jpg,0,209187,Jack,0.0,0,222434,0.0,0.0,,0,0.0,0,0,0,0,0,-2,156095,0,0.0,38,0.0,32,0,2,5708,0.0,,0,0,0,91
