1.73,0,0,0,0,0.76,0,1.67,0,2.55,0.5,0.7,0,0,0,1.62,1.72,1.45,0,0,0,0,2.39,0,0,0,0.63,0,0,0,0,0,1.6,0,1.51,0,1.55,0
0,0,0,0,0,0,0,0,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.65,0,0,0,1.42,0,0,1.97,0,0,0,0,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,0,0,3.41,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.41,0,2.49,0,0,7.01,4.82,0,4.91,0,0,0,0,0
-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-0.42,1.34,0,0,-1,-1,-1,-0.22,-1,1.4,0.62,0.29,-1.43,-1,-0.23,0,-1,0.68,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.32
0.66,0,5.69,2.51,0.78,0.79,-1,-1,-1,-1,-0.49,-1,0,0,-1,-1,2.3,-1,-1,-1,-1,0.78,-0.25,-1,-1,0,-1,2.24,-0.33,-1,-1,-1,-1,-0.32,-1,-1,-1,1.22
2.71,0,-1,-1,1.48,-1,-1,-1,-1,-1,-0.27,-1,0,0,2.18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-0.5,-1,-1,-1,-1,-1,-1,-1
3.78,0,0,0.96,0,1.74,0.64,0,0,0.75,0,1.6,0,1.71,0,0,2.78,0.74,0,0,0,0.76,1.78,3.08,1.01,0,0,6.51,0,4.75,1.71,0,3.36,0,0.61,0,1.69,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
