,Unnamed: 0,Unnamed: 0.1,webName,ID,elementID,firstName,secondName,fullName,cleanName,score_1,score_2,score_3
146,146,146,Loftus-Cheek,115,3,Ruben,Loftus-Cheek,Ruben Loftus-Cheek,Ruben LoftusCheek,1.47,0.0,2.4
147,147,147,Hudson-Odoi,116,3,Callum,Hudson-Odoi,Callum Hudson-Odoi,Callum HudsonOdoi,0.0,0.0,0.49
148,148,148,Barkley,117,3,Ross,Barkley,Ross Barkley,Ross Barkley,1.78,0.0,5.7700000000000005
149,149,149,Jorginho,118,3,Jorge Luiz,Frello Filho,Jorge Luiz Frello Filho,Jorge Luiz Frello Filho,0.0,0.0,0.0
150,150,150,Kanté,119,3,N'Golo,Kanté,N'Golo Kanté,NGolo Kante,0.18999999999999995,0.0,7.43
151,151,151,Ampadu,121,3,Ethan,Ampadu,Ethan Ampadu,Ethan Ampadu,0.0,0.0,-1.0
152,152,152,Pulisic,431,3,Christian,Pulisic,Christian Pulisic,Christian Pulisic,0.61,0.6,7.84
153,153,153,Kovacic,432,3,Mateo,Kovacic,Mateo Kovacic,Mateo Kovacic,0.0,0.0,1.5999999999999999
154,154,154,Zouma,459,2,Kurt,Zouma,Kurt Zouma,Kurt Zouma,0.0,2.47,9.11
155,155,155,Abraham,460,4,Tammy,Abraham,Tammy Abraham,Tammy Abraham,0.49,0.0,1.28
156,156,156,Batshuayi,461,4,Michy,Batshuayi,Michy Batshuayi,Michy Batshuayi,0.0,0.0,0.0
157,157,157,Kenedy,462,3,Robert Kenedy,Nunes do Nascimento,Robert Kenedy Nunes do Nascimento,Robert Kenedy Nunes do Nascimento,0.0,0.0,8.120000000000001
158,158,158,Mount,463,3,Mason,Mount,Mason Mount,Mason Mount,1.7,0.0,11.549999999999999
159,159,159,James,506,2,Reece,James,Reece James,Reece James,5.57,0.0,19.169999999999998
160,160,160,Tomori,529,2,Fikayo,Tomori,Fikayo Tomori,Fikayo Tomori,0.0,0.0,0.0
161,161,161,van Aanholt,123,2,Patrick,van Aanholt,Patrick van Aanholt,Patrick van Aanholt,0.0,0.0,0.73
162,162,162,Tomkins,124,2,James,Tomkins,James Tomkins,James Tomkins,0.0,0.0,0.6400000000000001
163,163,163,Sakho,125,2,Mamadou,Sakho,Mamadou Sakho,Mamadou Sakho,1.75,0.0,7.309999999999999
164,164,164,Ward,126,2,Joel,Ward,Joel Ward,Joel Ward,0.0,0.0,2.24
165,165,165,Dann,127,2,Scott,Dann,Scott Dann,Scott Dann,1.36,-0.36,7.409999999999999
166,166,166,Kelly,128,2,Martin,Kelly,Martin Kelly,Martin Kelly,0.0,0.0,-1.0
167,167,167,Benteke,129,4,Christian,Benteke,Christian Benteke,Christian Benteke,0.0,0.0,0.0
168,168,168,Wickham,130,4,Connor,Wickham,Connor Wickham,Connor Wickham,0.7,0.0,0.71
169,169,169,Guaita,131,1,Vicente,Guaita,Vicente Guaita,Vicente Guaita,0.0,0.0,0.0
