,PlayerID,Player,Round,Opponent,Opponent_FDR,isHome,Points,minutes,Opponent_PrevWeek,Opponent_FDR_PrevWeek,isHome_PrevWeek,Points_PrevWeek,Opponent_2PrevWeek,Opponent_FDR_2PrevWeek,isHome_2PrevWeek,Points_2PrevWeek,isCaptain,ICT_index,Threat,Influence,Transfers_Balance,Value,BPS,DefenseOdds,OffenceOdds,elementID,BlogScore
950,119,KantÃ©,3,12,4,1,0,90,9,3,1,2,12,5,0,0,0,0.0,0.0,0.0,0,50,8,56.037101265822784,25.889873417721518,3,7.43
951,6,Monreal,3,10,5,1,0,90,5,3,1,2,13,5,0,7,0,0.425,0.8,3.74,-2493,50,18,56.037101265822784,25.889873417721518,2,6.97
952,59,AkÃ©,3,11,5,0,0,90,2,2,0,1,15,2,1,2,0,0.0,0.0,0.0,0,50,8,56.037101265822784,25.889873417721518,2,0.74
953,320,Redmond,3,13,2,1,0,90,10,5,1,2,5,2,0,2,0,0.37,4.0,0.7,-12399,65,6,56.037101265822784,25.889873417721518,3,2.62
954,502,Maupay,3,17,4,1,0,90,19,3,1,1,18,3,0,6,0,0.1,1.4,0.02,-2674,60,-4,56.037101265822784,25.889873417721518,4,2.03
955,24,Taylor,3,7,2,1,0,90,3,3,1,1,17,5,0,1,0,0.395,2.4,3.72,-776,45,14,56.037101265822784,25.889873417721518,2,0.64
956,93,Pope,3,14,3,0,0,90,1,4,0,3,16,2,1,8,0,0.51,0.2,7.959999999999999,71828,45,24,56.037101265822784,25.889873417721518,1,11.77
957,488,PÃ©pÃ©,3,10,5,1,0,90,5,3,1,1,13,5,0,1,0,0.0,0.0,0.0,0,95,6,56.037101265822784,25.889873417721518,3,7.41
958,206,Zinchenko,3,3,3,1,0,90,17,4,1,1,19,3,0,6,0,0.46,1.5,3.38,29526,55,16,56.037101265822784,25.889873417721518,2,8.700000000000001
959,501,McBurnie,3,18,2,1,0,90,7,2,1,1,3,2,0,1,0,0.135,1.7,0.6599999999999999,-1170,60,1,56.037101265822784,25.889873417721518,4,0.0
960,302,Norwood,3,18,2,1,0,90,7,2,1,3,3,2,0,2,0,0.63,0.8,3.46,-1309,50,17,56.037101265822784,25.889873417721518,3,0.52
961,352,Skipp,3,4,3,0,0,90,11,5,0,1,2,2,1,1,0,0.025,0.0,0.5,-1054,45,3,56.037101265822784,25.889873417721518,3,0.0
962,110,Giroud,3,12,4,1,0,90,9,3,1,2,12,5,0,1,0,0.335,2.1,1.24,-4884,70,11,56.037101265822784,25.889873417721518,4,1.5
963,328,Romeu Vidal,3,13,2,1,0,90,10,5,1,1,5,2,0,2,0,0.315,1.1,2.52,-3472,45,12,56.037101265822784,25.889873417721518,3,0.0
964,399,Fornals,3,8,3,0,0,90,4,3,0,2,11,3,1,1,0,0.09,0.3,1.12,-8474,65,4,56.037101265822784,25.889873417721518,3,1.47
965,49,GroÃ,3,17,4,1,0,90,19,3,1,3,18,3,0,6,0,0.0,0.0,0.0,0,65,21,56.037101265822784,25.889873417721518,3,2.04
966,487,Cutrone,3,9,3,1,0,90,12,4,1,1,9,2,0,1,0,0.025,0.0,0.54,-11839,60,2,56.037101265822784,25.889873417721518,4,0.0
967,123,van Aanholt,3,2,2,0,0,90,15,3,0,2,8,2,1,6,0,0.22000000000000006,0.2,2.72,-29878,55,8,56.037101265822784,25.889873417721518,2,0.73
968,255,Dummett,3,16,2,0,0,90,14,3,0,0,1,4,1,2,0,0.355,3.3,3.56,-1175,45,6,56.037101265822784,25.889873417721518,2,0.0
969,238,Pogba,3,6,4,0,0,90,20,3,0,0,6,4,1,9,0,0.795,3.3,5.96,-22929,85,4,56.037101265822784,25.889873417721518,3,9.48
970,114,RodrÃ­guez Ledesma,3,12,4,1,0,90,9,3,1,2,12,5,0,2,0,0.0,0.0,0.0,0,70,8,56.037101265822784,25.889873417721518,3,7.550000000000002
971,476,Billing,3,11,5,0,0,90,2,2,0,0,15,2,1,2,0,0.315,1.1,2.62,-1428,50,0,56.037101265822784,25.889873417721518,3,0.0
972,11,Aubameyang,3,10,5,1,0,90,5,3,1,6,13,5,0,6,0,1.08,11.1,7.959999999999999,-161141,110,25,56.037101265822784,25.889873417721518,4,13.159999999999995
973,325,HÃ¸jbjerg,3,13,2,1,0,90,10,5,1,2,5,2,0,1,0,0.0,0.0,0.0,0,50,10,56.037101265822784,25.889873417721518,3,0.0
974,214,Sterling,3,3,3,1,0,90,17,4,1,6,19,3,0,20,0,1.935,19.6,14.8,257538,121,20,56.037101265822784,25.889873417721518,3,47.77000000000001
975,409,JimÃ©nez,3,9,3,1,0,90,12,4,1,2,9,2,0,2,0,0.0,0.0,0.0,0,75,6,56.037101265822784,25.889873417721518,4,7.75
976,489,Nelson,3,10,5,1,0,90,5,3,1,1,13,5,0,2,0,0.485,4.1,1.44,-1463,55,-1,56.037101265822784,25.889873417721518,3,0.0
977,159,Barbosa Pereira,3,20,3,0,0,90,6,4,0,2,20,3,1,9,0,0.4400000000000001,1.2,5.36,6160,60,11,56.037101265822784,25.889873417721518,2,6.3900000000000015
978,150,de Andrade,3,19,3,1,0,90,18,2,1,3,7,2,0,3,0,0.47,6.2,1.22,-69620,80,0,56.037101265822784,25.889873417721518,3,16.979999999999997
979,217,Mahrez,3,3,3,1,0,90,17,4,1,1,19,3,0,14,0,0.75,4.5,5.2799999999999985,-23800,85,1,56.037101265822784,25.889873417721518,3,5.98
980,187,Firmino,3,1,4,0,0,90,16,2,0,8,14,4,1,5,0,0.905,9.8,6.1,19773,95,31,56.037101265822784,25.889873417721518,4,22.1
981,369,Pereyra,3,15,3,0,0,90,8,3,0,1,4,3,1,1,0,0.37,5.8,0.58,-37662,60,-1,56.037101265822784,25.889873417721518,3,2.18
982,393,Snodgrass,3,8,3,0,0,90,4,3,0,2,11,3,1,1,0,0.29500000000000004,2.1,1.64,-1060,55,7,56.037101265822784,25.889873417721518,3,0.0
983,443,Hernandez,3,3,3,1,0,90,17,4,1,2,19,3,0,3,0,0.35,0.7,3.56,-7412,55,16,56.037101265822784,25.889873417721518,3,0.0
984,411,dos Santos PatrÃ­cio,3,9,3,1,0,90,12,4,1,9,9,2,0,6,0,0.0,0.0,0.0,0,50,25,56.037101265822784,25.889873417721518,1,2.18
985,404,Bennett,3,9,3,1,0,90,12,4,1,1,9,2,0,6,0,0.175,1.0,2.3600000000000003,-160,50,11,56.037101265822784,25.889873417721518,2,0.0
986,305,Bertrand,3,13,2,1,0,90,10,5,1,1,5,2,0,1,0,0.115,0.9,0.6,-2794,50,6,56.037101265822784,25.889873417721518,2,1.74
987,75,Fraser,3,11,5,0,0,90,2,2,0,2,15,2,1,1,0,0.54,4.0,1.24,-286026,75,6,56.037101265822784,25.889873417721518,1,30.97
988,380,Fredericks,3,8,3,0,0,90,4,3,0,2,11,3,1,0,0,0.19,0.2,2.32,-226,45,9,56.037101265822784,25.889873417721518,2,0.0
989,414,da Silva Neves,3,9,3,1,0,90,12,4,1,7,9,2,0,2,0,0.385,0.7,5.7,22051,55,22,56.037101265822784,25.889873417721518,3,3.56
990,192,ManÃ©,3,1,4,0,0,90,16,2,0,13,14,4,1,1,0,0.0,0.0,0.0,0,115,45,56.037101265822784,25.889873417721518,3,51.90000000000001
991,127,Dann,3,2,2,0,0,90,15,3,0,2,8,2,1,6,0,0.375,3.8,3.62,310,45,17,56.037101265822784,25.889873417721518,2,7.409999999999998
992,248,McTominay,3,6,4,0,0,90,20,3,0,2,6,4,1,3,0,0.185,1.4,1.82,-2522,50,9,56.037101265822784,25.889873417721518,3,0.0
993,144,Coleman,3,19,3,1,0,90,18,2,1,5,7,2,0,6,0,0.27,2.2,2.78,15173,55,16,56.037101265822784,25.889873417721518,2,10.76
994,270,Longstaff,3,16,2,0,0,90,14,3,0,3,1,4,1,2,0,0.18,0.0,2.26,-4004,50,9,56.037101265822784,25.889873417721518,3,0.0
995,210,AgÃ¼ero,3,3,3,1,0,90,17,4,1,6,19,3,0,5,0,0.0,0.0,0.0,0,120,27,56.037101265822784,25.889873417721518,4,35.75000000000001
996,37,Duffy,3,17,4,1,0,90,19,3,1,2,18,3,0,6,0,0.19,0.5,3.2,-4112,50,13,56.037101265822784,25.889873417721518,3,2.85
997,5,Papastathopoulos,3,10,5,1,0,90,5,3,1,2,13,5,0,8,0,0.29,0.2,4.42,-4497,50,20,56.037101265822784,25.889873417721518,2,0.0
998,55,March,3,17,4,1,0,90,19,3,1,2,18,3,0,3,0,0.45,2.1,3.56,-2929,50,13,56.037101265822784,25.889873417721518,3,0.0
999,58,Cook,3,11,5,0,0,90,2,2,0,2,15,2,1,2,0,0.235,0.4,4.3,-516,50,11,56.037101265822784,25.889873417721518,3,4.84
1000,460,Abraham,3,12,4,1,0,90,9,3,1,1,12,5,0,1,0,0.195,2.9,0.0,-24861,70,2,56.037101265822784,25.889873417721518,4,1.28
