Player,Round,Opponent,Opponent_FDR,isHome,Points,minutes,Opponent_PrevWeek,Opponent_FDR_PrevWeek,isHome_PrevWeek,Points_PrevWeek,Opponent_2PrevWeek,Opponent_FDR_2PrevWeek,isHome_2PrevWeek,Points_2PrevWeek,isCaptain,ICT_index,Threat,Influence,Transfers_Balance,Value,BPS,DefenseOdds,OffenceOdds
Fernandes da Silva Junior,1,2,18,3,0,0,90,0,0,0,0,0,0,0,0,0,2.0,0.0,18.0,0,45,11,63.12,36.72
Anício Caldeira Duarte,1,3,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,60,0,64.06,32.59
Leno,1,1,13,4,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,50,0,25.96,80.95
Reid,1,2,2,3,0,2,87,0,0,0,0,0,0,0,0,0,6.9,35.0,8.0,0,55,8,78.22,38.45
Bonatini,1,4,8,2,1,1,19,0,0,0,0,0,0,0,0,0,0.9,6.0,1.2,0,50,3,50.11,24.08
Diaz,1,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,50,0,6.26,41.49
Enobakhare,1,3,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,45,0,50.11,24.08
Ecuele Manga,1,2,2,3,0,1,90,0,0,0,0,0,0,0,0,0,1.6,0.0,15.4,0,45,8,78.22,38.45
Saltor Grau,1,2,18,3,0,1,25,0,0,0,0,0,0,0,0,0,2.1,0.0,6.4,0,45,6,63.12,36.72
Söyüncü,1,2,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,50,0,88.02,50.76
Hudson-Odoi,1,3,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,45,0,25.57,10.63
Paterson,1,3,2,3,0,2,62,0,0,0,0,0,0,0,0,0,3.7,18.0,7.4,0,55,10,78.22,38.45
Wilson,1,4,5,1,1,8,90,0,0,0,0,0,0,0,0,1,18.2,103.0,58.6,0,60,31,37.06,14.08
Chambers,1,2,7,2,1,1,90,0,0,0,0,0,0,0,0,0,3.1,0.0,30.4,0,45,22,20.97,56.58
Sánchez,1,3,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,45,0,50.33,104.45
Tosun,1,4,20,3,0,5,80,0,0,0,0,0,0,0,0,0,5.3,11.0,25.0,0,70,18,64.06,32.59
Fàbregas,1,3,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,65,0,25.57,10.63
Mbemba,1,2,17,4,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,40,0,72.81,34.74
Austin,1,4,4,3,1,2,71,0,0,0,0,0,0,0,0,0,3.5,8.0,5.2,0,60,5,31.42,19.53
Daniels,1,2,5,1,1,5,90,0,0,0,0,0,0,0,0,0,3.2,2.0,13.4,0,45,22,37.06,14.08
Taylor,1,2,16,2,0,1,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,45,2,77.16,49.26
Kouyaté,1,3,9,2,0,1,2,0,0,0,0,0,0,0,0,0,2.2,17.0,5.0,0,50,3,24.41,62.42
Atsu,1,3,17,4,1,1,21,0,0,0,0,0,0,0,0,0,2.1,1.0,6.2,0,55,4,72.81,34.74
