,player_id_x,name,plural_name_short,assists_x,attempted_passes_x,big_chances_created_x,big_chances_missed_x,bps_x,clean_sheets_x,clearances_blocks_interceptions_x,completed_passes_x,creativity_x,dribbles_x,ea_index_x,errors_leading_to_goal_x,errors_leading_to_goal_attempt_x,goals_conceded_x,goals_scored_x,ict_index_x,influence_x,key_passes_x,loaned_in_x,loaned_out_x,minutes_x,open_play_crosses_x,opponent_team_x,own_goals_x,penalties_conceded_x,penalties_missed_x,penalties_saved_x,saves_x,tackles_x,target_missed_x,threat_x,winning_goals_x,value_x,difficulty,total_points_y
42,20.0,Ainsley Maitland-Niles,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,4,0.0
43,450.0,Lucas Torreira,MID,0.0,25.0,0.0,0.0,3.0,0.0,1.0,23.0,1.8,0.0,0.0,0.0,1.0,1.0,0.0,0.8,5.8,0.0,0.0,0.0,45.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,4,1.0
44,451.0,Matteo Guendouzi,MID,0.0,49.0,0.0,0.0,17.0,0.0,5.0,46.0,5.0,2.0,0.0,0.0,0.0,3.0,0.0,3.8,26.4,0.0,0.0,0.0,90.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,45.0,4,1.0
45,21.0,Danny Welbeck,FWD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,4,8.0
46,22.0,Alexandre Lacazette,FWD,0.0,6.0,0.0,0.0,2.0,0.0,0.0,5.0,10.6,0.0,0.0,0.0,0.0,1.0,0.0,1.5,4.2,1.0,0.0,0.0,15.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,4,4.0
47,23.0,Pierre-Emerick Aubameyang,FWD,0.0,11.0,0.0,2.0,-4.0,0.0,1.0,9.0,11.1,0.0,0.0,0.0,0.0,3.0,0.0,4.7,4.2,1.0,0.0,0.0,90.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,32.0,0.0,110.0,4,2.0
48,1.0,Petr Cech,GKP,0.0,24.0,0.0,0.0,17.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.8,27.8,0.0,0.0,0.0,90.0,0.0,19.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,50.0,4,1.0
49,2.0,Bernd Leno,GKP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,4,0.0
50,3.0,Laurent Koscielny,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,4,0.0
51,4.0,Héctor Bellerín,DEF,1.0,49.0,1.0,0.0,25.0,0.0,6.0,40.0,22.3,0.0,0.0,0.0,1.0,1.0,0.0,5.7,28.6,1.0,0.0,0.0,90.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,55.0,4,0.0
