id,web_name,team_code,element_type,status,now_cost,chance_of_playing_next_round,value_season,minutes,bps,ict_index,form,transfers_in_event,transfers_out_event,total_points,ep_next,event_points,goals_scored,assists,clean_sheets,goals_conceded,threat
255,Fabinho,14,3,a,55,100,6.9,1005,159,53.4,1.4,11,19,38,2.4,0,1,2,5,7,137.0
256,Keita,14,3,a,71,100,5.1,874,128,52.4,1.6,6,10,36,2.6,0,0,1,6,5,260.0
462,Shaqiri,14,3,a,71,,11.4,971,274,92.5,1.4,34,97,81,2.4,0,6,4,7,6,281.0
557,Camacho,14,3,a,50,,0.2,1,3,0.2,0.2,0,0,1,1.2,0,0,0,0,1,0.0
223,Mahrez,43,3,a,83,100,8.3,937,232,107.9,0.0,9,38,69,0.5,0,5,2,3,7,488.0
270,Sterling,43,3,a,113,100,12.7,1743,488,225.2,3.7,196,526,144,4.2,0,10,10,9,16,957.0
271,David Silva,43,3,a,85,100,11.1,1430,414,195.5,1.8,111,193,94,2.3,0,6,3,8,11,741.0
272,Fernandinho,43,3,a,53,100,12.5,1914,372,96.8,1.0,45,95,66,1.5,0,1,3,9,14,184.0
273,De Bruyne,43,3,a,97,100,2.3,375,104,36.6,1.5,90,89,22,2.0,0,1,1,2,1,67.0
274,Gündogan,43,3,a,54,100,12.2,961,272,100.7,1.0,25,60,66,1.5,0,4,2,4,11,340.0
275,Sané,43,3,a,98,,13.2,1381,428,190.9,5.3,655,602,129,5.8,0,8,11,7,12,805.0
276,Bernardo Silva,43,3,a,76,100,13.2,1801,414,170.7,1.5,114,525,100,2.0,0,5,6,7,18,576.0
277,Foden,43,3,a,45,100,1.8,92,34,15.1,0.0,4,6,8,0.5,0,0,0,0,0,69.0
279,Zinchenko,43,3,a,47,100,1.9,233,59,18.1,0.0,0,0,9,0.5,0,0,1,1,2,30.0
295,Sánchez,1,3,a,100,100,3.7,524,132,66.4,1.0,8,8,37,2.0,0,1,5,1,8,258.0
296,Matic,1,3,a,50,100,9.4,1856,305,78.9,1.8,23,26,47,2.8,0,1,0,4,29,169.0
297,Mata,1,3,a,62,,7.4,883,184,64.9,0.5,4,24,46,1.5,0,2,2,3,12,188.0
299,Herrera,1,3,a,50,100,10.0,1014,237,68.9,1.0,16,81,50,2.0,0,2,3,2,16,191.0
300,Lingard,1,3,a,67,100,10.0,1172,225,78.6,2.3,184,154,67,3.3,0,4,3,2,18,286.0
301,Martial,1,3,d,72,75,12.5,1177,289,124.7,1.3,84,533,90,1.7,0,8,2,3,18,457.0
302,Pogba,1,3,d,87,75,13.8,1764,420,216.3,5.0,442,1180,120,4.5,0,9,8,5,24,911.0
303,McTominay,1,3,a,42,100,2.1,252,43,8.7,0.3,17,17,9,1.3,0,0,0,0,8,37.0
304,Fred,1,3,a,54,,4.1,563,92,30.7,0.0,2,9,22,1.0,0,1,0,1,10,65.0
481,Pereira,1,3,a,45,,1.6,235,39,8.4,0.5,2,6,7,1.5,0,0,0,0,6,24.0
568,Gomes,1,3,a,50,,0.2,9,3,2.3,0.0,1,1,1,1.0,0,0,0,0,1,17.0
317,Ritchie,4,3,a,58,100,11.4,1807,281,119.5,4.5,39,6,66,4.5,3,1,4,7,25,284.0
320,Atsu,4,3,a,51,100,6.1,1094,99,54.4,2.5,10,3,31,2.5,3,0,0,4,13,223.0
323,Hayden,4,3,a,43,100,6.0,750,115,27.8,4.0,97,12,26,4.0,3,0,2,3,11,46.0
458,Kenedy,4,3,a,48,100,9.2,1209,140,62.2,0.3,4,10,44,0.3,0,1,1,6,15,272.0
531,Longstaff,4,3,a,45,,3.1,364,52,6.9,3.3,31,8,14,3.3,3,0,1,2,5,28.0
338,Ward-Prowse,20,3,a,50,,8.2,747,176,78.1,7.3,512,32,41,7.3,0,3,0,1,18,158.0
339,Oriol Romeu,20,3,a,43,,6.0,1129,136,41.0,1.5,3,16,26,1.5,0,0,0,3,20,85.0
340,Højbjerg,20,3,d,44,75,10.9,1590,272,91.6,0.8,18,69,48,0.6,0,3,1,2,36,289.0
342,Sims,20,3,a,44,0,0.0,0,0,0.0,0.0,1,0,0,0.0,0,0,0,0,0,0.0
343,Redmond,20,3,a,53,100,13.4,2063,244,127.9,1.5,61,82,71,1.5,0,2,2,6,36,459.0
345,Armstrong,20,3,a,51,100,8.8,988,169,76.0,0.8,5,15,45,0.8,0,3,0,2,19,259.0
346,Elyounoussi,20,3,a,60,100,4.0,652,79,45.4,0.3,0,3,24,0.3,0,0,0,4,6,167.0
562,Johnson,20,3,a,45,,0.2,1,3,0.0,0.0,0,0,1,0.0,0,0,0,0,0,0.0
570,Slattery,20,3,a,45,,0.4,20,6,0.7,0.5,2,1,2,0.5,0,0,0,0,0,0.0
361,Dier,6,3,a,47,100,8.5,1128,193,43.2,0.3,12,18,40,1.3,0,2,0,5,12,74.0
363,Lamela,6,3,a,61,100,9.2,775,190,79.2,1.8,17,38,56,2.8,3,4,2,4,8,342.0
364,Eriksen,6,3,a,94,100,10.0,1587,408,138.8,3.3,90,318,94,4.3,3,4,8,5,22,329.0
366,Wanyama,6,3,a,49,100,1.2,147,25,5.1,0.0,1,0,6,1.0,0,0,0,1,0,21.0
367,Son,6,3,a,86,100,13.7,1244,377,139.4,3.5,3823,73,118,4.5,3,9,7,8,12,613.0
368,Winks,6,3,a,55,100,8.4,1314,222,39.6,4.3,48,9,46,5.3,3,1,0,6,13,60.0
369,Sissoko,6,3,a,49,100,9.8,1448,240,49.8,1.5,20,5,48,2.5,3,0,1,8,16,101.0
370,Lucas Moura,6,3,a,68,100,12.6,1439,221,101.6,0.5,106,118,86,1.5,1,6,2,10,12,401.0
523,Amos,6,3,a,43,,0.2,2,3,0.2,0.0,5,1,1,1.0,0,0,0,0,0,0.0
540,Skipp,6,3,a,45,,1.6,115,24,4.3,0.0,1,0,7,1.0,0,0,0,1,1,4.0
